name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,Defending,Physical_Mobility,Finishing_Attacking,Static_Physical_Reactivity,Technique_Creativity,Aggression_Aerial
M. Salah,Mohamed  Salah Ghaly,6/15/1992,26,175.26,71.2,"RW,ST",Egypt,89,90,78500000.0,265000.0,Left,3,3,4,PLAYER_BODY_TYPE_25,151100000.0,Egypt,73.0,RM,10.0,44.25,89.6,79.85714285714286,76.66666666666667,84.14285714285714,61.0
P. Dybala,Paulo Bruno Exequiel Dybala,11/15/1993,25,152.4,74.8,"CAM,RW",Argentina,89,94,89000000.0,205000.0,Left,3,3,4,Normal,153500000.0,Argentina,82.0,LF,21.0,23.75,85.2,86.57142857142857,75.33333333333333,85.57142857142857,58.0
M. Škriniar,Milan Škriniar,2/11/1995,24,187.96,79.8,CB,Slovakia,86,93,53500000.0,89000.0,Right,1,4,2,Normal,101700000.0,,,,,87.75,63.8,37.42857142857143,82.0,65.14285714285714,84.0
Fernandinho,Fernando Luiz Rosa,5/4/1985,33,152.4,67.1,CDM,Brazil,87,87,20500000.0,200000.0,Right,3,4,3,Lean,37900000.0,,,,,85.5,73.8,70.57142857142857,81.0,80.57142857142857,76.5
G. Higuaín,Gonzalo Gerardo Higuaín,12/10/1987,31,185.42,88.9,ST,Argentina,87,87,48500000.0,205000.0,Right,4,4,3,Normal,,,,,,23.75,71.2,79.57142857142857,83.33333333333333,78.0,64.5
I. Rakitić,Ivan Rakitić,3/10/1988,30,182.88,78.0,"CM,CDM",Croatia,87,87,46500000.0,260000.0,Right,4,4,3,Lean,95300000.0,,,,,76.25,70.0,83.14285714285714,63.333333333333336,85.71428571428571,63.0
J. Vertonghen,Jan Vertonghen,4/24/1987,31,187.96,86.2,CB,Belgium,87,87,34000000.0,155000.0,Left,3,3,3,Normal,62900000.0,Belgium,85.0,LCB,5.0,88.25,64.4,62.285714285714285,83.0,76.0,82.0
D. Mertens,Dries Mertens,5/6/1987,31,170.18,60.8,"CF,ST",Belgium,87,87,45000000.0,135000.0,Right,3,4,4,Normal,76500000.0,Belgium,85.0,RF,14.0,35.25,87.8,80.57142857142857,63.333333333333336,82.85714285714286,47.0
Marcelo,Marcelo Vieira da Silva Júnior,5/12/1988,30,175.26,79.8,LB,Brazil,87,87,36500000.0,240000.0,Left,4,4,5,Normal,74800000.0,,,,,79.75,85.2,71.42857142857143,80.33333333333333,85.0,79.5
T. Alderweireld,Toby Alderweireld,3/2/1989,30,185.42,81.2,CB,Belgium,87,88,44000000.0,165000.0,Right,3,3,2,Normal,84700000.0,Belgium,85.0,RCB,2.0,88.5,62.8,56.57142857142857,83.66666666666667,75.71428571428571,81.5
Jordi Alba,Jordi Alba Ramos,3/21/1989,29,170.18,68.0,LB,Spain,87,87,38000000.0,250000.0,Left,3,3,3,Normal,77900000.0,Spain,85.0,LB,18.0,81.5,90.4,68.71428571428571,75.0,77.71428571428571,73.5
Thiago,Thiago Alcântara do Nascimento,4/11/1991,27,175.26,69.9,"CM,CAM,CDM",Spain,87,87,51500000.0,140000.0,Right,3,3,5,Normal,85000000.0,Spain,85.0,SUB,19.0,70.75,79.6,79.14285714285714,73.33333333333333,86.28571428571429,55.0
C. Immobile,Ciro Immobile,2/20/1990,29,185.42,84.8,ST,Italy,87,87,52000000.0,115000.0,Right,3,4,3,Normal,88400000.0,Italy,83.0,ST,17.0,34.75,76.6,78.14285714285714,80.0,74.42857142857143,79.0
K. Navas,Keylor Navas,12/15/1986,32,185.42,79.8,GK,Costa Rica,87,87,30500000.0,195000.0,Right,3,3,1,Normal,62500000.0,,,,,19.0,53.4,15.142857142857142,77.66666666666667,36.857142857142854,21.5
Isco,Francisco Román Alarcón Suárez,4/21/1992,26,175.26,78.9,"CAM,CM,LW",Spain,87,90,62500000.0,260000.0,Right,3,3,4,Normal,132800000.0,Spain,85.0,LW,22.0,59.75,78.2,78.14285714285714,66.66666666666667,85.28571428571429,56.5
J. Rodríguez,James David Rodríguez Rubio,7/12/1991,27,154.94,74.8,"CAM,CM,RM",Colombia,87,88,59000000.0,260000.0,Left,4,3,4,Normal,,Colombia,79.0,LAM,10.0,48.0,73.8,85.85714285714286,69.0,86.85714285714286,63.0
Casemiro,Carlos Henrique Venancio Casimiro,2/23/1992,27,185.42,83.9,CDM,Brazil,87,89,50500000.0,240000.0,Right,3,3,2,Normal,107300000.0,,,,,85.75,68.4,68.28571428571429,87.66666666666667,79.85714285714286,82.5
M. Icardi,Mauro Emanuel Icardi Rivero,2/19/1993,26,154.94,74.8,ST,Argentina,87,90,64500000.0,130000.0,Right,3,4,3,Normal,114500000.0,Argentina,82.0,ST,9.0,27.75,75.2,74.71428571428571,86.0,74.0,73.5
Kepa,Kepa Arrizabalaga,10/3/1994,24,185.42,84.8,GK,Spain,84,90,31000000.0,92000.0,Right,1,4,1,Lean,63600000.0,Spain,85.0,SUB,13.0,18.5,36.8,18.0,67.0,33.857142857142854,17.5
H. Ziyech,Hakim Ziyech,3/19/1993,25,154.94,64.9,"CAM,RW",Morocco,84,86,38000000.0,31000.0,Left,3,2,4,Lean,56100000.0,,,,,54.0,80.0,76.71428571428571,60.0,84.71428571428571,62.5
Fabinho,Fábio Henrique Tavares,10/23/1993,25,187.96,78.0,CDM,Brazil,84,88,34000000.0,120000.0,Right,3,2,3,Lean,65500000.0,,,,,84.5,73.8,66.14285714285714,79.0,80.0,80.0
A. Martial,Anthony Martial,12/5/1995,23,182.88,76.2,"LW,ST,LM",France,84,90,42500000.0,165000.0,Right,3,3,4,Normal,89300000.0,,,,,37.75,83.8,77.14285714285714,77.0,79.0,63.5
T. Werner,Timo Werner,3/6/1996,23,154.94,74.8,ST,Germany,84,87,40000000.0,77000.0,Right,3,4,3,Normal,71000000.0,Germany,85.0,RW,9.0,28.75,85.2,74.0,76.0,73.14285714285714,70.0
N. Süle,Niklas Süle,9/3/1995,23,195.58,97.1,CB,Germany,84,90,36500000.0,84000.0,Right,2,3,2,Stocky,67500000.0,Germany,85.0,CB,15.0,83.25,53.4,32.714285714285715,70.33333333333333,60.714285714285715,84.0
Bruno Fernandes,Bruno Miguel Borges Fernandes,9/8/1994,24,152.4,68.9,"CAM,CM",Portugal,84,88,40500000.0,22000.0,Right,2,3,4,Lean,84000000.0,Sporting CP,78.0,LCM,8.0,65.0,80.2,82.85714285714286,74.33333333333333,85.0,62.0
Alex Telles,Alex Nicolao Telles,12/15/1992,26,154.94,71.2,LB,Brazil,84,86,31000000.0,22000.0,Left,3,2,3,Lean,64300000.0,,,,,80.0,80.8,74.57142857142857,77.33333333333333,81.0,76.0
J. Giménez,José María Giménez de Vargas,1/20/1995,24,185.42,79.8,CB,Uruguay,84,88,34000000.0,63000.0,Right,2,3,2,Normal,72300000.0,Uruguay,81.0,LCB,2.0,86.5,61.0,36.714285714285715,83.66666666666667,57.285714285714285,85.0
N. Fekir,Nabil Fekir,7/18/1993,25,172.72,74.8,CAM,France,84,88,40500000.0,84000.0,Left,3,3,4,Stocky,80000000.0,,,,,30.25,82.0,79.71428571428571,77.0,84.42857142857143,61.0
D. Sánchez,Davinson Sánchez,6/12/1996,22,187.96,78.9,CB,Colombia,84,88,34000000.0,105000.0,Right,2,3,2,Lean,65500000.0,Colombia,79.0,RCB,23.0,84.75,68.4,35.285714285714285,78.66666666666667,67.14285714285714,83.5
Marco Asensio,Marco Asensio Willemsen,1/21/1996,23,182.88,76.2,"LW,RW",Spain,84,89,41500000.0,195000.0,Left,3,3,4,Normal,88200000.0,Spain,85.0,RW,10.0,41.5,79.6,78.57142857142857,67.0,83.57142857142857,51.0
O. Dembélé,Ousmane Dembélé,5/15/1997,21,152.4,67.1,"RW,LW",France,84,92,46000000.0,170000.0,Left,3,5,4,Lean,103500000.0,France,84.0,SUB,11.0,35.25,87.6,75.71428571428571,64.33333333333333,81.71428571428571,48.5
Iniesta,Andrés Iniesta Luján,5/11/1984,34,170.18,68.0,"CM,LM",Spain,85,85,18500000.0,19000.0,Right,4,4,4,Normal,24100000.0,,,,,61.5,71.4,73.28571428571429,63.0,86.0,56.0
Z. Ibrahimović,Zlatan Ibrahimović,10/3/1981,37,195.58,94.8,ST,Sweden,85,85,14000000.0,15000.0,Right,5,4,5,Normal,21000000.0,,,,,27.25,58.4,84.57142857142857,78.66666666666667,82.0,83.5
Jorginho,Luiz Frello Filho Jorge,12/20/1991,27,154.94,67.1,CM,Italy,83,84,30000000.0,140000.0,Right,2,3,3,Lean,57800000.0,Italy,83.0,CM,8.0,71.25,72.0,70.42857142857143,68.66666666666667,82.85714285714286,67.5
E. Višća,Edin Višća,2/17/1990,29,172.72,63.0,"RM,RW",Bosnia Herzegovina,83,83,26000000.0,44000.0,Right,2,4,4,Lean,49400000.0,,,,,46.75,88.8,74.71428571428571,69.0,79.28571428571429,46.0
S. Gnabry,Serge Gnabry,7/14/1995,23,175.26,74.8,"LM,RM,CAM,LW",Germany,83,87,34000000.0,85000.0,Right,2,4,4,Normal,58700000.0,Germany,85.0,ST,6.0,44.0,84.8,74.14285714285714,71.0,78.57142857142857,54.5
M. Kovačić,Mateo Kovačić,5/6/1994,24,175.26,78.0,CM,Croatia,83,89,35000000.0,165000.0,Right,3,4,4,Normal,,,,,,70.5,82.0,69.85714285714286,67.33333333333333,84.85714285714286,59.5
William Carvalho,William Silva de Carvalho,4/7/1992,26,187.96,83.0,"CDM,CM",Portugal,83,86,27000000.0,35000.0,Right,3,4,3,Normal,58700000.0,Portugal,82.0,CDM,14.0,78.25,63.2,59.142857142857146,78.66666666666667,80.42857142857143,75.5
Felipe,Felipe Augusto de Almeida Monteiro,5/16/1989,29,190.5,86.2,CB,Brazil,83,84,22500000.0,22000.0,Right,3,3,2,Normal,46700000.0,,,,,82.5,62.8,38.142857142857146,84.33333333333333,61.57142857142857,86.5
Y. Carrasco,Yannick Ferreira Carrasco,9/4/1993,25,154.94,73.0,LM,Belgium,83,86,33000000.0,20000.0,Right,3,4,4,Lean,73400000.0,Dalian YiFang FC,64.0,LM,10.0,35.25,81.8,76.57142857142857,70.0,79.0,57.0
Lucas Vázquez,Lucas Vázquez Iglesias,7/1/1991,27,172.72,69.9,"RW,RM",Spain,83,83,27000000.0,205000.0,Right,2,4,4,Normal,55400000.0,,,,,61.75,85.6,71.0,70.0,80.0,64.0
Q. Promes,Quincy Anton Promes,1/4/1992,27,175.26,72.1,"LM,ST,RM",Netherlands,83,83,28000000.0,28000.0,Right,2,4,5,Lean,58800000.0,Netherlands,81.0,RM,9.0,32.75,86.0,77.42857142857143,75.0,79.71428571428571,60.0
L. Goretzka,Leon Goretzka,2/6/1995,24,187.96,78.9,"CM,CAM,CDM",Germany,83,88,34000000.0,85000.0,Right,3,4,3,Lean,58700000.0,Germany,85.0,SUB,14.0,76.0,79.0,73.0,76.66666666666667,81.0,80.0
A. Rabiot,Adrien Rabiot,4/3/1995,23,193.04,79.8,"CM,CDM",France,83,87,33000000.0,91000.0,Left,2,3,3,Lean,63500000.0,,,,,76.5,76.0,70.71428571428571,78.66666666666667,82.0,76.5
A. Romagnoli,Alessio Romagnoli,1/12/1995,24,187.96,78.0,CB,Italy,83,90,31000000.0,92000.0,Left,2,3,2,Normal,58900000.0,,,,,85.5,64.0,32.714285714285715,79.0,66.14285714285714,81.0
João Cancelo,João Pedro Cavaco Cancelo,5/27/1994,24,182.88,73.9,RB,Portugal,83,89,29500000.0,105000.0,Right,2,3,4,Lean,54600000.0,Portugal,82.0,RB,2.0,78.5,84.8,66.0,74.0,79.14285714285714,68.5
Anderson Talisca,Anderson Souza Conceição,2/1/1994,25,190.5,79.8,CAM,Brazil,83,87,34000000.0,27000.0,Left,2,4,4,Normal,77400000.0,,,,,54.25,74.0,82.0,69.66666666666667,80.71428571428571,72.0
K. Coman,Kingsley Coman,6/13/1996,22,152.4,71.2,"LM,RM,LW,RW",France,83,88,34500000.0,85000.0,Right,2,3,5,Lean,59500000.0,,,,,21.0,87.2,75.71428571428571,73.33333333333333,77.0,44.0
T. Lemar,Thomas Lemar,11/12/1995,23,170.18,62.1,"LM,CAM,RM",France,83,89,35500000.0,64000.0,Left,3,2,4,Lean,79900000.0,France,84.0,SUB,8.0,60.75,84.4,77.28571428571429,71.0,81.85714285714286,58.5
J. Tah,Jonathan Tah,2/11/1996,23,195.58,97.1,CB,Germany,82,87,25000000.0,61000.0,Right,2,4,2,Stocky,44400000.0,Germany,85.0,SUB,20.0,82.75,59.2,27.285714285714285,82.0,63.142857142857146,78.0
M. Politano,Matteo Politano,8/3/1993,25,170.18,67.1,"RM,LM,ST",Italy,82,85,28000000.0,61000.0,Left,2,4,4,Normal,,,,,,39.75,84.4,76.28571428571429,58.0,79.42857142857143,51.5
C. Lenglet,Clément Lenglet,6/17/1995,23,185.42,81.2,CB,France,82,88,26000000.0,135000.0,Left,1,4,2,Lean,58500000.0,,,,,82.75,68.0,32.42857142857143,82.0,68.42857142857143,80.0
Pau López,Pau López Sabata,12/13/1994,24,187.96,77.1,GK,Spain,82,87,21500000.0,21000.0,Left,1,3,1,Lean,46800000.0,Spain,85.0,SUB,23.0,16.5,47.2,20.428571428571427,65.66666666666667,36.857142857142854,27.0
H. Lozano,Hirving Rodrigo Lozano Bahena,7/30/1995,23,175.26,69.9,"RW,LW",Mexico,82,87,29500000.0,24000.0,Right,3,4,4,Lean,43500000.0,Mexico,77.0,LS,22.0,37.75,86.8,72.42857142857143,69.33333333333333,76.28571428571429,61.0
Malcom,Malcom Filipe Silva de Oliveira,2/26/1997,22,172.72,73.9,RW,Brazil,82,89,31500000.0,140000.0,Left,2,4,4,Normal,70900000.0,,,,,23.0,83.8,76.42857142857143,67.0,81.0,55.0
L. Torreira,Lucas Torreira Di Pascua,2/11/1996,23,167.64,64.0,"CDM,CM",Uruguay,82,87,25000000.0,98000.0,Right,2,3,3,Normal,49400000.0,Uruguay,81.0,LCM,14.0,82.75,83.6,64.28571428571429,65.66666666666667,78.42857142857143,72.5
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,11/29/1996,22,152.4,68.0,"LM,ST,RM,LW",Portugal,82,86,29000000.0,36000.0,Right,1,4,4,Normal,63100000.0,Portugal,82.0,SUB,17.0,34.5,83.4,73.57142857142857,69.0,78.71428571428571,63.5
G. Lo Celso,Giovani Lo Celso,4/9/1996,22,175.26,69.9,"CM,CAM,CDM",Argentina,82,88,30000000.0,83000.0,Left,1,3,4,Lean,,Argentina,82.0,RCM,20.0,65.0,79.8,73.57142857142857,71.0,82.42857142857143,62.0
Fabián,Fabián Ruiz Peña,4/3/1996,22,187.96,69.9,"CM,CDM,CAM",Spain,82,90,32000000.0,70000.0,Left,1,4,4,Lean,60800000.0,,,,,75.0,70.0,72.85714285714286,65.0,80.28571428571429,67.5
F. de Jong,Frenkie de Jong,5/12/1997,21,154.94,69.9,"CM,CDM,CB",Netherlands,82,89,31000000.0,20000.0,Right,1,3,4,Lean,49600000.0,Netherlands,81.0,LDM,7.0,72.5,78.8,61.42857142857143,76.0,83.14285714285714,64.0
Raphaelito Anjos,Raphael William Anjos Rochedo,2/29/1988,31,190.5,84.8,GK,Brazil,82,82,14000000.0,32000.0,Right,1,2,1,Normal,25200000.0,Brazil,81.0,GK,1.0,18.25,37.4,13.0,76.0,31.857142857142858,22.5
Juiano Mestres,Juan Everton Mestres de Mesquita,2/29/1984,35,154.94,82.1,"CB,CDM",Brazil,82,82,6500000.0,39000.0,Right,1,3,2,Normal,12400000.0,Brazil,81.0,RCB,3.0,82.0,68.4,61.42857142857143,82.66666666666667,63.285714285714285,84.5
Rosberto Dourado,Rosberto J. Dourado Santos,2/29/1988,31,175.26,69.9,"CDM,CM",Brazil,82,82,16500000.0,46000.0,Right,1,4,2,Lean,31400000.0,Brazil,81.0,RCM,13.0,82.75,81.2,59.285714285714285,63.666666666666664,75.85714285714286,72.5
Arthur,Arthur Henrique Ramos Oliveira Melo,8/12/1996,22,170.18,73.0,CM,Brazil,82,90,32500000.0,125000.0,Right,1,3,4,Normal,73100000.0,,,,,71.5,77.0,69.0,73.66666666666667,82.71428571428571,65.5
Rodri,Rodrigo Hernández Cascante,6/22/1996,22,190.5,82.1,"CM,CDM",Spain,82,87,29000000.0,59000.0,Right,1,3,4,Lean,61600000.0,Spain,85.0,SUB,16.0,76.25,71.8,62.714285714285715,74.66666666666667,79.85714285714286,69.0
M. Parolo,Marco Parolo,1/25/1985,34,182.88,74.8,"CDM,CM",Italy,82,82,9000000.0,59000.0,Right,2,4,3,Lean,15300000.0,,,,,80.0,72.6,68.71428571428571,78.66666666666667,80.0,77.5
M. Kruse,Max Kruse,3/19/1988,30,154.94,76.2,"CF,ST,CAM",Germany,82,82,21500000.0,45000.0,Left,2,4,4,Normal,36600000.0,,,,,42.5,71.4,81.0,74.0,83.14285714285714,63.0
J. Henderson,Jordan Brian Henderson,6/17/1990,28,182.88,79.8,"CDM,CM",England,82,82,18000000.0,125000.0,Right,2,3,3,Normal,33300000.0,England,82.0,RCM,8.0,78.0,72.4,71.85714285714286,77.0,79.85714285714286,71.0
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,2/23/1988,31,172.72,66.2,CAM,Argentina,82,82,21000000.0,22000.0,Left,3,2,4,Lean,45200000.0,,,,,40.0,80.0,76.14285714285714,69.66666666666667,79.57142857142857,61.5
M. Arnautović,Marko Arnautović,4/19/1989,29,193.04,83.0,ST,Austria,82,82,22000000.0,120000.0,Right,3,4,4,Normal,41800000.0,Austria,77.0,LS,7.0,43.5,75.0,77.57142857142857,76.33333333333333,80.42857142857143,79.0
S. Giovinco,Sebastian Giovinco,1/26/1987,32,162.56,60.8,"CF,ST",Italy,82,82,20000000.0,61000.0,Right,2,4,4,Normal,34000000.0,Al Hilal,74.0,SUB,9.0,26.5,86.0,81.85714285714286,53.0,81.14285714285714,54.5
G. Sigurðsson,Gylfi Þór Sigurðsson,9/8/1989,29,185.42,77.1,CAM,Iceland,82,82,22500000.0,125000.0,Right,3,4,3,Normal,42800000.0,Iceland,72.0,CAM,10.0,56.0,66.0,81.28571428571429,71.33333333333333,83.42857142857143,58.5
Giuliano,Giuliano Victor de Paula,5/31/1990,28,172.72,68.0,"CAM,RW",Brazil,82,82,22500000.0,59000.0,Right,2,3,4,Stocky,38300000.0,,,,,43.0,82.8,73.71428571428571,72.0,81.14285714285714,65.5
P. Gulácsi,Péter Gulácsi,5/6/1990,28,193.04,86.2,GK,Hungary,82,83,18000000.0,53000.0,Right,2,2,1,Normal,32000000.0,Hungary,73.0,GK,1.0,21.0,42.4,13.714285714285714,70.0,28.857142857142858,28.5
Luiz Gustavo,Luiz Gustavo Dias,7/23/1987,31,187.96,78.0,"CDM,CB",Brazil,82,82,16500000.0,57000.0,Left,3,3,3,Lean,31400000.0,,,,,82.5,67.4,55.42857142857143,80.0,75.28571428571429,80.0
K. Trippier,Kieran Trippier,9/19/1990,28,152.4,72.1,"RB,RWB",England,82,82,18500000.0,99000.0,Right,2,4,3,Normal,34200000.0,England,82.0,SUB,12.0,79.25,77.4,69.0,72.66666666666667,77.28571428571429,71.5
A. Ramsey,Aaron Ramsey,12/26/1990,28,182.88,76.2,"CM,CDM,CAM",Wales,82,82,23000000.0,130000.0,Right,3,3,3,Lean,43700000.0,Wales,75.0,CAM,10.0,68.0,74.0,74.57142857142857,71.33333333333333,81.14285714285714,65.5
M. Balotelli,Mario  Barwuah Balotelli,8/12/1990,28,187.96,88.0,ST,Italy,82,82,23500000.0,68000.0,Right,4,4,4,Normal,44700000.0,,,,,20.5,68.4,80.85714285714286,76.0,79.14285714285714,68.5
Marlos,Marlos Romero Bonfim,6/7/1988,30,175.26,68.9,RM,Ukraine,82,82,21000000.0,1000.0,Left,2,4,5,Normal,44100000.0,,,,,46.75,84.2,76.57142857142857,69.0,81.71428571428571,55.5
Taison,Taison Barcellos Freda,1/13/1988,31,172.72,64.0,"LM,CAM",Brazil,82,82,21000000.0,1000.0,Right,2,3,4,Lean,44100000.0,,,,,45.0,87.2,73.14285714285714,67.66666666666667,81.14285714285714,56.0
G. Bonaventura,Giacomo Bonaventura,8/22/1989,29,154.94,74.8,"CM,LW",Italy,82,82,22000000.0,115000.0,Right,3,3,4,Lean,37400000.0,,,,,71.5,78.0,76.57142857142857,72.33333333333333,82.85714285714286,69.0
G. Kondogbia,Geoffrey Kondogbia,2/15/1993,26,187.96,79.8,"CM,CDM",Central African Rep.,81,84,22000000.0,43000.0,Left,2,2,4,Lean,47900000.0,,,,,80.25,73.2,64.42857142857143,85.0,81.14285714285714,78.5
J. Roussillon,Jérôme Roussillon,1/6/1993,26,175.26,79.8,"LB,LWB,LM",France,81,83,18000000.0,50000.0,Left,2,3,3,Stocky,32000000.0,,,,,78.75,82.2,62.714285714285715,75.33333333333333,75.14285714285714,73.0
S. Zaza,Simone Zaza,6/25/1991,27,185.42,83.9,ST,Italy,81,82,21000000.0,48000.0,Left,2,3,4,Normal,,,,,,46.5,75.4,74.57142857142857,85.0,70.71428571428571,83.0
S. Vrsaljko,Šime Vrsaljko,1/10/1992,27,154.94,76.2,RB,Croatia,81,81,15000000.0,57000.0,Right,2,3,3,Lean,,,,,,79.25,76.6,57.0,79.0,72.85714285714286,74.0
C. Kramer,Christoph Kramer,2/19/1991,28,190.5,76.2,"CDM,CM",Germany,81,82,17000000.0,35000.0,Right,2,3,3,Lean,30200000.0,,,,,79.25,63.4,52.57142857142857,68.33333333333333,72.71428571428571,68.0
B. Mendy,Benjamin Mendy,7/17/1994,24,185.42,84.8,LB,France,81,86,20000000.0,105000.0,Left,2,3,3,Normal,38500000.0,,,,,79.25,76.4,52.857142857142854,77.33333333333333,77.42857142857143,70.0
M. Sabitzer,Marcel Sabitzer,3/17/1994,24,152.4,77.1,"CAM,CM",Austria,81,84,22500000.0,54000.0,Right,2,4,3,Normal,39900000.0,Austria,77.0,LM,9.0,54.75,79.6,74.42857142857143,78.66666666666667,78.0,63.0
M. Nastasić,Matija Nastasić,3/28/1993,25,187.96,83.0,CB,Serbia,81,84,18500000.0,36000.0,Left,2,2,2,Normal,32800000.0,,,,,82.75,65.6,43.714285714285715,79.66666666666667,61.285714285714285,77.5
A. Plea,Alassane Plea,3/10/1993,25,154.94,78.9,"ST,LW",France,81,83,22000000.0,40000.0,Right,2,3,4,Stocky,39100000.0,,,,,34.5,78.8,77.71428571428571,77.66666666666667,76.85714285714286,68.0
M. Ginter,Matthias Ginter,1/19/1994,25,187.96,83.0,"CB,CDM",Germany,81,83,18500000.0,30000.0,Right,2,3,2,Normal,32800000.0,Germany,85.0,RWB,4.0,81.0,60.4,51.714285714285715,75.33333333333333,70.85714285714286,77.0
Gerard Moreno,Gerard Moreno Balagueró,4/7/1992,26,154.94,77.1,ST,Spain,81,83,22000000.0,45000.0,Left,1,4,4,Lean,47900000.0,,,,,41.25,74.2,73.85714285714286,76.0,71.28571428571429,67.5
A. Doucouré,Abdoulaye Doucouré,1/1/1993,26,182.88,76.2,"CDM,CM",France,81,85,19500000.0,60000.0,Right,2,3,3,Lean,38500000.0,,,,,79.75,71.0,60.857142857142854,76.66666666666667,78.42857142857143,72.0
R. Guerreiro,Raphaël Guerreiro,12/22/1993,25,170.18,71.2,"LM,LB,CM",Portugal,81,84,22500000.0,54000.0,Left,3,2,4,Normal,39900000.0,,,,,74.5,79.6,74.71428571428571,65.0,80.57142857142857,60.5
Ricardo Pereira,Ricardo Barbosa Pereira,10/6/1993,25,175.26,69.9,"RB,RM",Portugal,81,84,18500000.0,64000.0,Right,3,4,3,Lean,36500000.0,,,,,79.0,83.6,62.57142857142857,71.66666666666667,77.85714285714286,69.5
